icao,airport_node_title,aip_main_title,aip_main_href_menu_relative,aip_main_url
UNAA,UNAA. АБАКАН,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unaa/1-ad2-rus-unaa-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unaa/1-ad2-rus-unaa-txt.pdf
UHMA,UHMA. АНАДЫРЬ (УГОЛЬНЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhma/1-ad2-rus-uhma-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhma/1-ad2-rus-uhma-txt.pdf
URKA,URKA. АНАПА (ВИТЯЗЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urka/1-ad2-rus-urka-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urka/1-ad2-rus-urka-txt.pdf
ULAA,ULAA. АРХАНГЕЛЬСК (ТАЛАГИ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ulaa/1-ad2-rus-ulaa-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ulaa/1-ad2-rus-ulaa-txt.pdf
URWA,URWA. АСТРАХАНЬ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urwa/1-ad2-rus-urwa-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urwa/1-ad2-rus-urwa-txt.pdf
UNBB,UNBB. БАРНАУЛ (МИХАЙЛОВКА),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unbb/1-ad2-rus-unbb-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unbb/1-ad2-rus-unbb-txt.pdf
UUOB,UUOB. БЕЛГОРОД,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuob/1-ad2-rus-uuob-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuob/1-ad2-rus-uuob-txt.pdf
UHBB,UHBB. БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhbb/1-ad2-rus-uhbb-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhbb/1-ad2-rus-uhbb-txt.pdf
UIBB,UIBB. БРАТСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uibb/1-ad2-rus-uibb-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uibb/1-ad2-rus-uibb-txt.pdf
UUBP,UUBP. БРЯНСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uubp/1-ad2-rus-uubp-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uubp/1-ad2-rus-uubp-txt.pdf
UWKS,UWKS. ЧЕБОКСАРЫ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwks/1-ad2-rus-uwks-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwks/1-ad2-rus-uwks-txt.pdf
USCC,USCC. ЧЕЛЯБИНСК (БАЛАНДИНО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uscc/1-ad2-rus-uscc-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uscc/1-ad2-rus-uscc-txt.pdf
ULWC,ULWC. ЧЕРЕПОВЕЦ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ulwc/1-ad2-rus-ulwc-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ulwc/1-ad2-rus-ulwc-txt.pdf
UIAA,UIAA. ЧИТА (КАДАЛА),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uiaa/1-ad2-rus-uiaa-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uiaa/1-ad2-rus-uiaa-txt.pdf
URWI,URWI. ЭЛИСТА,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urwi/1-ad2-rus-urwi-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urwi/1-ad2-rus-urwi-txt.pdf
URMG,URMG. ГРОЗНЫЙ (СЕВЕРНЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urmg/1-ad2-rus-urmg-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urmg/1-ad2-rus-urmg-txt.pdf
UIII,UIII. ИРКУТСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uiii/1-ad2-rus-uiii-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uiii/1-ad2-rus-uiii-txt.pdf
UMKK,UMKK. КАЛИНИНГРАД (ХРАБРОВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/umkk/1-ad2-rus-umkk-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/umkk/1-ad2-rus-umkk-txt.pdf
UUBC,UUBC. КАЛУГА (ГРАБЦЕВО),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uubc/1-ad2-rus-uubc-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uubc/1-ad2-rus-uubc-txt.pdf
UWKD,UWKD. КАЗАНЬ,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uwkd/1-ad2-rus-uwkd-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uwkd/1-ad2-rus-uwkd-txt.pdf
UNEE,UNEE. КЕМЕРОВО,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unee/1-ad2-rus-unee-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unee/1-ad2-rus-unee-txt.pdf
UHHH,UHHH. ХАБАРОВСК (НОВЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uhhh/1-ad2-rus-uhhh-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uhhh/1-ad2-rus-uhhh-txt.pdf
USHH,USHH. ХАНТЫ-МАНСИЙСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/ushh/1-ad2-rus-ushh-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/ushh/1-ad2-rus-ushh-txt.pdf
URKK,URKK. КРАСНОДАР (ПАШКОВСКИЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/urkk/1-ad2-rus-urkk-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/urkk/1-ad2-rus-urkk-txt.pdf
UNKL,UNKL. КРАСНОЯРСК,"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/unkl/1-ad2-rus-unkl-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/unkl/1-ad2-rus-unkl-txt.pdf
UUOK,UUOK. КУРСК (ВОСТОЧНЫЙ),"ДАННЫЕ, ТЕКСТЫ, ТАБЛИЦЫ",../aip/ad/ad2/uuok/1-ad2-rus-uuok-txt.pdf,https://www.caica.ru/common/AirInter/validaip/aip/ad/ad2/uuok/1-ad2-rus-uuok-txt.pdf
